,count,mean,std,min,25%,50%,75%,max
age,303.0,54.43894389438944,9.038662442446746,29.0,48.0,56.0,61.0,77.0
trestbps,303.0,131.68976897689768,17.59974772958769,94.0,120.0,130.0,140.0,200.0
chol,303.0,246.69306930693068,51.77691754263704,126.0,211.0,241.0,275.0,564.0
thalach,303.0,149.6072607260726,22.875003276980376,71.0,133.5,153.0,166.0,202.0
oldpeak,303.0,1.0396039603960396,1.1610750220686348,0.0,0.0,0.8,1.6,6.2
ca,299.0,0.6722408026755853,0.9374383177242163,0.0,0.0,0.0,1.0,3.0
sex,303.0,0.6798679867986799,0.46729882777012993,0.0,0.0,1.0,1.0,1.0
cp,303.0,3.1584158415841586,0.9601256119600138,1.0,3.0,3.0,4.0,4.0
fbs,303.0,0.1485148514851485,0.35619787492797644,0.0,0.0,0.0,0.0,1.0
restecg,303.0,0.9900990099009901,0.9949712915251782,0.0,0.0,1.0,2.0,2.0
exang,303.0,0.32673267326732675,0.46979446452231655,0.0,0.0,0.0,1.0,1.0
slope,303.0,1.6006600660066006,0.6162261453459619,1.0,1.0,2.0,2.0,3.0
thal,301.0,4.73421926910299,1.939705769378644,3.0,3.0,3.0,7.0,7.0
target,303.0,0.45874587458745875,0.4991195009875263,0.0,0.0,0.0,1.0,1.0
